objname,ra,dec,distance,distance_err
UGC09749,227.2948005,67.2136217,0.06,0.004
UGC10822,260.0555295,57.9271408,0.081,0.003
ESO351-030,15.03885,-33.709,0.09,0.005
ESO356-004,39.9971505,-34.4491667,0.141,0.01
UGC06253,168.36876,22.1551964,0.25,0.015
UGC05470,152.1159945,12.3077493,0.26,0.015
NGC6822,296.237433,-14.8003417,0.52,0.031
NGC0185,9.7415835,48.3374306,0.66,0.039
UGC05364,149.8600005,30.7463889,0.74,0.044
IC1613,16.199166,2.1177314,0.76,0.045
NGC0147,8.3004165,48.5088889,0.76,0.045
NGC0224,10.6846845,41.2689778,0.77,0.045
IC0010,5.10208333,59.29166667,0.79,0.047
NGC0221,10.6741035,40.8651653,0.79,0.047
NGC0205,10.092075,41.6853283,0.8,0.047
NGC0598,23.462121,30.6599252,0.93,0.055
UGC12613,352.150842,14.7428937,1.07,0.05
ESO594-004,292.495875,-17.6790001,1.08,0.064
NGC3109,150.7786515,-26.1594858,1.34,0.079
UGC04879,139.01325,52.842028,1.37,0.081
UGC05373,150.0001515,5.3322409,1.43,0.084
ESO410-005,3.880113,-32.1804986,1.93,0.114
UGC05076,143.1494895,51.87253,2.174,6.749
UGC08091,194.66751,14.2173144,2.19,0.129
ESO407-018,351.6160785,-32.3885812,2.22,0.131
ESO468-020,340.182438,-30.7994747,2.24,0.132
UGC09128,213.985416,23.0555556,2.3,0.136
UGC07577,186.922548,43.4957365,2.61,0.154
UGC06817,177.720762,38.8804074,2.65,0.156
UGC08508,202.6849995,54.9113889,2.67,0.157
NGC4190,183.435372,36.6332488,2.83,0.167
UGC09240,216.181452,44.5259117,2.83,0.167
NGC4214,183.9142905,36.326393,2.88,0.17
NGC0404,17.3624895,35.7178895,2.98,0.176
UGCA086,59.95625,67.12527778,2.98,0.176
NGC1560,68.2045005,71.8830833,2.99,0.176
NGC4163,183.0378555,36.1685034,2.99,0.176
UGC07949,191.749572,36.4763369,3.01,0.177
UGC08651,204.9742515,40.7391401,3.1,0.183
NGC1569,67.704936,64.848155,3.19,0.188
NGC2403,114.2142375,65.6024203,3.19,0.188
ESO349-031,2.0563215,-34.5787254,3.21,0.189
NGC3741,174.0248055,45.2853281,3.22,0.19
UGC08833,208.7020995,35.8376896,3.25,0.191
IC0342,56.7021255,68.0960926,3.28,0.193
NGC2366,112.2252765,69.214964,3.28,0.193
UGC08760,207.713157,38.0211092,3.31,0.195
ESO540-031,12.4570575,-21.0130159,3.44,0.203
NGC5253,204.983298,-31.640036,3.44,0.203
UGC04305,124.768125,70.7216741,3.47,0.204
ESO379-024,181.23625,-35.74305556,3.48,0.205
NGC6789,289.1733165,63.97219,3.55,0.209
ESO540-030,12.3380085,-18.0752968,3.56,0.21
UGC04483,129.2641665,69.7763889,3.58,0.211
NGC3034,148.968012,69.6797719,3.61,0.213
ESO540-032,12.602349,-19.9064443,3.63,0.214
NGC7793,359.457591,-32.5910738,3.63,0.214
UGC05428,151.2798645,66.5590485,3.65,0.215
NGC2976,146.8146105,67.9162633,3.66,0.216
UGC04459,128.527083,66.18,3.68,0.217
NGC0253,11.8879665,-25.2884419,3.7,0.218
NGC3031,148.8881565,69.0652757,3.7,0.218
NGC0247,11.7857175,-20.7604499,3.72,0.219
UGC05497,153.2000925,64.1076973,3.73,0.22
UGC05442,151.7576115,67.8275387,3.75,0.221
NGC3077,150.828609,68.7341103,3.85,0.227
UGC05336,149.383188,69.0459613,3.85,0.227
IC2574,157.097919,68.4120945,3.93,0.232
UGC05692,157.6450005,70.6213889,3.93,0.232
UGC05139,145.1345595,71.1833033,4.02,0.237
NGC4789A,193.522764,27.1505266,4.04,0.238
UGC07298,184.125699,52.227996,4.19,0.247
UGC06541,173.370222,49.2381425,4.23,0.249
UGC08308,198.344583,46.3202778,4.25,0.25
UGC08320,198.616224,45.9203416,4.25,0.25
NGC4449,187.0462605,44.093628,4.27,0.252
UGC08638,204.830505,24.7743584,4.29,0.253
NGC3485,165.0099585,14.8415278,4.301,7.665
NGC4244,184.3727955,37.8077928,4.31,0.254
UGC01703,33.22965,32.813702,4.31,0.254
IC4182,196.455276,37.6046589,4.35,0.256
IC4316,205.076145,-28.8941873,4.35,0.256
ESO471-006,355.9430925,-31.956949,4.37,0.257
NGC4068,181.008213,52.5891256,4.39,0.259
NGC4236,184.1754435,69.4626085,4.41,0.26
NGC4736,192.721248,41.1203028,4.41,0.26
NGC4826,194.1820095,21.6821044,4.41,0.26
UGC08331,198.874023,47.4996337,4.41,0.26
ESO384-016,209.255724,-35.3329835,4.49,0.265
NGC5238,203.6770995,51.6136779,4.51,0.266
IC3687,190.5629715,38.5027002,4.57,0.269
UGC08215,197.0148705,46.8279656,4.57,0.269
NGC5204,202.4023995,58.420383,4.59,0.27
UGC07596,187.1413575,8.6396393,4.6,0.917
ESO444-084,204.3342555,-28.0447855,4.61,0.272
UGC06757,176.746461,61.3350085,4.61,0.272
UGC06456,171.99858,78.993902,4.63,0.273
UGC07599,187.117059,37.2348128,4.72,0.278
UGC08245,197.151027,78.937302,4.72,0.278
UGC07929,191.3361,21.4272003,4.732,5.604
UGC07605,187.161273,35.717594,4.74,0.279
NGC4395,186.453741,33.5467883,4.76,0.28
NGC5264,205.403073,-29.9127323,4.79,0.282
UGC00685,16.8434055,16.6839553,4.81,0.283
UGC08201,196.603824,67.7069306,4.83,0.285
UGC07698,188.227251,31.5415492,4.88,0.288
NGC0059,3.8547,-21.4444603,4.9,0.289
NGC5236,204.2539005,-29.8656261,4.9,0.289
IC1574,10.765236,-22.2475644,4.92,0.29
UGC07559,186.771576,37.1427793,4.97,0.293
NGC5068,199.728666,-21.0390236,5.15,0.303
UGC07983,192.4459065,3.8423814,5.15,0.303
IC4247,201.68514,-30.3625855,5.18,0.305
UGC07636,187.5025005,7.9294,5.2,1.036
UGC01281,27.381666,32.5888889,5.27,0.311
NGC3738,173.9533335,54.5244444,5.3,0.312
NGC0784,30.320541,28.83725,5.37,0.316
ESO444-078,204.128643,-29.2352641,5.42,0.319
ESO379-007,178.680138,-33.5589695,5.45,0.321
ESO381-018,191.1771735,-35.9666565,5.45,0.321
UGC07242,183.5350275,66.0946866,5.45,0.321
ESO381-020,191.501643,-33.8381248,5.47,0.322
IC3414,187.369893,6.7715216,5.549,5.342
NGC4605,189.997218,61.6091583,5.55,0.327
NGC4765,193.310358,4.4633294,5.65,1.126
NGC5585,214.95081,56.7293892,5.7,0.336
UGC09405,218.850405,57.2559507,5.81,0.342
UGC02905,59.2511205,16.5230541,5.83,0.344
ESO443-009,193.7231805,-28.3408216,5.97,0.352
UGC07457,185.790546,29.3497315,6.0,0.354
NGC5023,198.048858,44.0377017,6.05,0.356
NGC6503,267.360459,70.1443333,6.25,0.368
UGC07857,190.4761095,13.7729252,6.301,0.581
ESO489-056,96.570792,-26.2656389,6.31,0.372
ESO490-017,99.487755,-26.0001989,6.34,0.374
UGC08055,194.0185995,3.8127999,6.359,5.183
ESO494-026,121.5461745,-27.5284504,6.46,1.85
UGC02684,50.0979705,17.2961321,6.49,0.382
UGC02716,51.03,17.75416667,6.5,0.383
NGC4707,192.0945825,51.1654201,6.52,0.384
UGC11411,287.179575,70.2837556,6.58,0.388
NGC4455,187.1837535,22.8208014,6.61,0.389
NGC0045,3.5165415,-23.1818333,6.64,0.391
NGC3621,169.568658,-32.8140373,6.64,0.391
NGC4136,182.323779,29.9276571,6.67,0.393
ESO553-046,81.7739085,-20.6778542,6.7,0.395
NGC4688,191.944191,4.3368279,6.7,1.335
NGC5477,211.388772,54.4608877,6.76,0.398
IC3718,191.189316,12.3516941,6.8,1.355
UGC00288,7.267233,43.4307987,6.82,0.402
ESO461-036,300.984558,-31.6843067,6.85,0.404
NGC4144,182.493648,46.4573312,6.89,0.406
NGC5457,210.802368,54.349023,6.95,0.409
NGC5474,211.256274,53.6622675,6.98,0.411
ESO501-023,158.846577,-24.7541149,7.0,1.395
UGC03303,81.247431,4.505206,7.14,0.421
UGC07639,187.4722485,47.5308903,7.14,0.421
ESO558-011,106.7376465,-22.0396409,7.16,0.422
NGC0672,26.97477,27.4319784,7.18,0.423
UGC08837,208.6906245,53.9025421,7.24,0.427
UGC07356,184.788321,47.0901846,7.28,0.429
UGC07408,185.313471,45.8119871,7.28,0.429
NGC4627,190.4995545,32.5735905,7.3,0.43
NGC4700,192.283914,-11.4098368,7.3,1.455
NGC0024,2.4847695,-24.963769,7.31,0.431
NGC4631,190.5326625,32.5425167,7.35,0.433
UGC07673,187.9939215,29.7097638,7.35,0.433
ESO483-013,63.171336,-23.1589236,7.4,1.475
NGC 4631dw1,190.2375,32.7925,7.4,0.436
NGC 4631dw2,190.5283333,32.62083333,7.4,0.436
NGC 4631dw3,190.71875,32.45972222,7.4,0.436
NGC4248,184.4578185,47.4091544,7.4,1.475
NGC4448,187.0643985,28.6203152,7.443,6.118
IC1727,26.8745535,27.3330062,7.45,0.439
NGC2787,139.826811,69.2033065,7.48,0.441
UGC02773,53.0303295,47.7940585,7.52,0.443
UGC01104,23.177208,18.3170833,7.55,0.445
NGC4258,184.7399355,47.3038816,7.66,0.451
NGC4618,190.3869855,41.1509388,7.66,0.451
NGC5195,202.497309,47.2660603,7.66,0.451
UGC03755,108.4652565,10.5212845,7.69,0.453
NGC3377A,161.8429905,14.0693825,7.73,0.455
NGC6946,308.7191655,60.1535166,7.73,0.455
UGC11583,307.5634725,60.4406659,7.73,0.455
NGC4757,193.208925,-10.3099586,7.781,5.388
NGC1156,44.9269155,25.2387298,7.8,0.46
UGC07903,190.939362,53.9599337,7.83,0.461
UGC04115,119.2590255,14.3909857,7.87,0.464
NGC4242,184.37568,45.6191956,7.9,1.575
UGC07751,188.798808,41.0608185,7.9,1.575
UGC07485,186.092358,21.1599929,7.94,1.583
NGC3274,158.07183,27.6687876,7.98,0.47
NGC4656,190.990431,32.1696375,7.98,0.47
NGC4656UV,191.061642,32.2800722,7.98,0.47
NGC1800,76.6070955,-31.9541353,8.0,1.595
NGC4204,183.8103765,20.6587139,8.0,0.471
ESO358-060,56.301234,-35.5705512,8.114,4.991
UGC03974,115.480833,16.8025,8.17,0.481
ESO495-021,129.063291,-26.4093333,8.24,0.486
NGC4288,185.158929,46.2917083,8.24,0.486
UGC04998,141.2987505,68.3831944,8.24,0.486
UGC05571,154.9265625,52.0654655,8.24,0.486
ESO373-007,143.1895815,-33.2445628,8.3,1.654
UGC00063,1.96167,35.965978,8.302,4.185
UGC08882,209.311293,54.1009558,8.32,0.49
ESO472-015,1.701747,-24.9447471,8.351,3.824
NGC4437,188.1894825,0.1145302,8.36,0.493
NGC2188,92.539431,-34.105812,8.39,0.494
NGC5194,202.469547,47.195151,8.4,0.495
NGC5229,203.5121025,47.9153745,8.4,0.495
UGCA361,203.1508333,49.83027778,8.4,0.495
NGC7640,350.527416,40.8454167,8.43,0.497
UGC12588,351.177651,41.3479039,8.43,0.497
UGC12894,0.09375,39.49555556,8.47,1.688
UGC07827,189.9112035,44.8211232,8.5,1.694
UGC05918,162.403989,65.5312734,8.51,0.501
UGC03817,110.6853255,45.1084587,8.55,0.504
UGC12632,352.4946,40.990398,8.55,1.704
ESO359-024,62.739474,-35.8308868,8.58,5.407
ESO496-010,132.2749995,-26.3216054,8.59,0.506
UGC08647,204.9492225,31.2906075,8.6,1.714
UGC05086,143.20335,21.4656744,8.7,0.513
UGC07748,188.65989,68.3403825,8.7,1.734
ESO409-015,1.3828905,-28.0983395,8.71,0.513
UGC03174,72.143484,0.242073,8.774,4.842
UGC02157,40.104666,38.5633333,8.812,4.28
UGC00695,16.943622,1.0638696,8.842,3.679
NGC2903,143.042052,21.5015656,8.87,0.523
UGC05423,151.378467,70.3644428,8.87,0.523
NGC2903:[IHS2009]HI1,142.6665,21.723528,8.9,0.524
UGC07608,187.1852325,43.224294,8.9,1.774
UGC07950,191.736096,51.6133732,8.9,1.774
UGC08683,205.635531,39.6585123,8.9,1.774
NGC4485,187.629981,41.7008037,8.91,0.525
NGC4490,187.651425,41.6439942,8.91,0.525
NGC4559,188.9903415,27.9596837,8.91,0.525
UGC07690,188.112132,42.7040812,8.91,0.525
ESO486-015,75.751371,-25.4684718,8.966,5.102
NGC5055dwTBG1,198.07875,41.97694444,9.0,0.53
NGC5055dwTBG2,198.7129167,41.725,9.0,0.53
NGC1058,40.875495,37.3410997,9.006,4.258
ESO359-029,63.2106465,-33.0033297,9.033,5.422
ESO364-029,91.4373105,-33.0816082,9.04,0.533
NGC5055,198.9553965,42.0292782,9.04,0.533
UGC01176,25.0422405,15.9049144,9.04,0.533
UGC08313,198.47364,42.2074377,9.04,0.533
UGC07678,188.000973,39.8323185,9.08,0.535
IC3077,183.9847215,14.4329265,9.1,1.814
NGC1592,67.420308,-27.4086511,9.1,1.814
UGC07916,191.1044565,34.3860787,9.1,1.814
NGC5949,232.0027905,64.7631544,9.16,1.44
NGC5832,224.440254,71.6823693,9.192,5.416
